therm_data_temp;therm_data_rh;therm_data_co2;therm_data_date;therm_data_hour
11.4;92.1;0;2026-02-09;19:51:06
11.3;92.5;0;2026-02-09;20:06:06
11.3;92.8;0;2026-02-09;20:21:06
11.3;92.8;0;2026-02-09;20:36:06
11.3;92.9;0;2026-02-09;20:51:06
11.2;93;0;2026-02-09;21:06:06
11.2;93.1;0;2026-02-09;21:21:06
11.2;93.2;0;2026-02-09;21:36:06
11.2;93.3;0;2026-02-09;21:51:06
11.2;93.4;0;2026-02-09;22:06:06
11.2;93.6;0;2026-02-09;22:21:06
11.2;93.7;0;2026-02-09;22:36:06
11.1;94;0;2026-02-09;22:51:06
11.2;94;0;2026-02-09;23:06:06
11.2;94;0;2026-02-09;23:21:06
11.2;93.9;0;2026-02-09;23:36:06
11.2;93.9;0;2026-02-09;23:51:06
